DATE,CLOSE,TICKER,OPEN,HIGH,LOW,VOLUME
23/08/2018,35.90,HDB,36.00,36.20,35.80,1091800.00
22/08/2018,36.00,HDB,35.55,36.20,35.50,1105020.00
21/08/2018,35.50,HDB,35.00,35.50,34.90,1140970.00
20/08/2018,35.00,HDB,35.90,35.95,34.55,1385060.00
17/08/2018,35.90,HDB,36.70,36.90,35.90,937170.00
16/08/2018,36.65,HDB,36.00,37.00,35.70,1176710.00
15/08/2018,36.50,HDB,37.40,37.80,36.30,1012930.00
14/08/2018,37.40,HDB,37.15,37.50,36.40,1311490.00
13/08/2018,37.40,HDB,37.10,37.40,36.80,1514640.00
10/08/2018,37.10,HDB,36.40,37.10,36.20,2193310.00
09/08/2018,36.40,HDB,36.60,37.00,36.40,1752060.00
08/08/2018,36.50,HDB,36.25,36.70,36.00,1205980.00
07/08/2018,36.20,HDB,35.85,36.70,35.70,2250840.00
06/08/2018,35.85,HDB,35.85,36.00,35.50,1511810.00
03/08/2018,35.85,HDB,35.25,36.00,35.10,2661080.00
02/08/2018,35.20,HDB,35.75,35.75,34.80,1148030.00
01/08/2018,35.75,HDB,35.70,36.10,35.60,2113740.00
31/07/2018,35.60,HDB,35.20,35.85,34.40,1501400.00
30/07/2018,35.20,HDB,34.30,35.20,34.10,846700.00
27/07/2018,33.40,HDB,33.60,33.60,33.00,804460.00
26/07/2018,32.80,HDB,33.50,33.55,32.50,1232550.00
25/07/2018,33.50,HDB,34.00,34.55,33.30,951530.00
24/07/2018,34.00,HDB,35.00,35.15,34.00,1170400.00
23/07/2018,35.20,HDB,35.00,35.55,34.80,1336380.00
20/07/2018,35.40,HDB,35.00,35.40,34.00,1708540.00
19/07/2018,35.10,HDB,35.30,36.10,35.10,1856420.00
18/07/2018,35.25,HDB,33.65,35.55,33.65,2167560.00
17/07/2018,33.55,HDB,33.55,33.55,32.80,1614890.00
16/07/2018,33.55,HDB,33.60,33.75,33.25,1286340.00
13/07/2018,33.45,HDB,33.00,33.60,32.95,1692220.00
12/07/2018,33.00,HDB,32.80,33.50,32.50,1495050.00
11/07/2018,32.80,HDB,34.50,34.60,32.65,1553920.00
10/07/2018,35.10,HDB,35.00,36.05,34.90,598240.00
09/07/2018,35.20,HDB,35.10,35.60,34.90,1255590.00
06/07/2018,35.00,HDB,32.80,35.00,31.60,3135130.00
05/07/2018,32.80,HDB,34.70,34.90,32.50,1595010.00
04/07/2018,34.30,HDB,34.00,34.90,33.60,1296750.00
03/07/2018,34.70,HDB,36.30,36.50,34.40,2350580.00
02/07/2018,36.20,HDB,36.15,36.40,34.90,862020.00
29/06/2018,36.15,HDB,35.30,36.15,34.80,1234320.00
28/06/2018,34.60,HDB,35.90,36.10,34.50,757470.00
27/06/2018,36.20,HDB,36.80,37.40,36.20,336910.00
26/06/2018,36.80,HDB,36.00,36.85,36.00,427490.00
25/06/2018,37.30,HDB,37.70,37.75,37.20,299190.00
22/06/2018,37.40,HDB,36.50,37.40,36.00,1144370.00
21/06/2018,36.50,HDB,36.50,36.80,36.00,406740.00
20/06/2018,36.30,HDB,33.10,36.90,33.10,932640.00
19/06/2018,36.80,HDB,34.60,37.40,34.60,3075220.00
18/06/2018,36.80,HDB,38.50,39.50,36.40,1403380.00
15/06/2018,39.10,HDB,39.20,39.60,38.20,1092080.00
14/06/2018,39.20,HDB,41.50,41.50,39.20,348610.00
13/06/2018,41.00,HDB,40.90,42.00,40.90,377960.00
12/06/2018,40.90,HDB,41.50,41.50,39.00,2322470.00
11/06/2018,41.90,HDB,42.50,42.80,41.90,1676050.00
08/06/2018,43.40,HDB,44.50,44.65,43.20,863640.00
07/06/2018,44.60,HDB,43.10,44.80,42.90,1512020.00
06/06/2018,43.20,HDB,43.20,43.50,42.80,1099960.00
05/06/2018,43.20,HDB,43.00,44.00,42.70,2204580.00
